clasificacion_codigo,clasificacion_nombre,articulo_sk,articulo_clave,descripcion,existencia_total,fecha_corte
3,PAPEL/CARTON,11844,CC0141870010,CHARRA/CHARRO CARTONERIA,4,2025-09-03
3,PAPEL/CARTON,5520,C1418700014,XOLO CARTONERIA COLORES CH,21,2025-09-03
3,PAPEL/CARTON,5586,C1420380003,TECUAN PIG/NAT CARTONERIA,2,2025-09-03
3,PAPEL/CARTON,5575,C1420110006,MASCARA CALAVERA FRIDA CARTONERIA,4,2025-09-03
3,PAPEL/CARTON,5496,C1413210080,DIABLITO FUT CARTONERIA,99,2025-09-03
3,PAPEL/CARTON,11637,CC01413210024,HUESOS BAILARIN CARTONERIA,3,2025-09-03
6,MADERA/LACAS,21672,F1514350246,ALEBRIJE CONEJO SENTADO MAD,1,2025-09-03
6,MADERA/LACAS,12259,CC0159450048,CATRINA GUAJE MED,22,2025-09-03
6,MADERA/LACAS,2553,C0153470144,BAUL C/BASE LACA RAYADA MAD 80CM,1,2025-09-03
6,MADERA/LACAS,21686,F1515710006,TRASTERO MAD PINO NAT,1,2025-09-03
6,MADERA/LACAS,26890,FF01512780106,ALEBRIJE DRAGON MINI 1,1,2025-09-03
6,MADERA/LACAS,2603,C015450121,PORTARETRATO INFANTIL IND,19,2025-09-03
6,MADERA/LACAS,21722,F1517600336,CORAZON GOTICO MAD MED,3,2025-09-03
6,MADERA/LACAS,26720,FF0151275138,CARACOL TJYM,2,2025-09-03
6,MADERA/LACAS,21683,F1514350257,ALEBRIJE CARNERO MAD,1,2025-09-03
6,MADERA/LACAS,5768,C1520240001,CAJA PINTADO A MANO 14X14X7,1,2025-09-03
7,PROMOCIONALES,7861,C410950043,TAZA DISENO VARIOS,33,2025-09-03
7,PROMOCIONALES,7822,C4048039,BLOCK EJECUTIVO,2,2025-09-03
7,PROMOCIONALES,7867,C410950049,ENCENDEDOR DISENOS VARIOS,16,2025-09-03
7,PROMOCIONALES,7869,C41570001,IMAN MAGNETO MUNECA TIPICA,128,2025-09-03
7,PROMOCIONALES,7865,C410950047,MEZCALERO PELTRE DISENOS VAR,51,2025-09-03
7,PROMOCIONALES,7862,C410950044,POCILLO PELTRE,30,2025-09-03
7,PROMOCIONALES,7866,C410950048,LIBRETA GDE,5,2025-09-03
7,PROMOCIONALES,396,AF4048023,BOTON IMAN GDE D.F.,1,2025-09-03
7,PROMOCIONALES,7785,C40480009,BOLIGRAFO BIODEGRADABLE,15,2025-09-03
7,PROMOCIONALES,7863,C410950045,TERMO CROMADO DISENOS VARIOS,13,2025-09-03
8,PIEDRA,6059,C1919200004,MOLCAJETE TALAVERA COCHINITO 12X8,3,2025-09-03
8,PIEDRA,6056,C1919200001,MOLCAJETE TALAVERA COCHINITO 2X2,17,2025-09-03
8,PIEDRA,6061,C1919200006,MOLCAJETE TALAVERA CUADRADO 9X5,1,2025-09-03
8,PIEDRA,22035,F1915710004,MOLCAJETE FLOR DE PIEDRA CH,1,2025-09-03
8,PIEDRA,6062,C1919200007,METATE TALAVERA 5X8,3,2025-09-03
8,PIEDRA,22032,F1915710001,MOLCAJETE TECOLOTE DE PIEDRA,1,2025-09-03
8,PIEDRA,22033,F1915710002,MOLCAJETE PECES DE PIEDRA,1,2025-09-03
8,PIEDRA,22037,F1915710006,MOLCAJETE FLOR DE PIEDRA GDE,1,2025-09-03
9,NICHOS,3503,C016083065,NICHO CARTONERIA VAR TEMAS 27 CM,6,2025-09-03
9,NICHOS,3570,C016494056,NICHO MINI 2 VIDRIOS PUEBLA,2,2025-09-03
9,NICHOS,25019,F92520383,NICHO ALPACA C MILAGRO 14X13,1,2025-09-03
9,NICHOS,21225,F0163510035,NICHO PLANO,3,2025-09-03
9,NICHOS,3560,C0164940078,NICHO MINIATURAS LARGO 15X6X4 PUEBLA,2,2025-09-03
9,NICHOS,5886,C162660013,NICHO CATRINES BAILADORES,1,2025-09-03
9,NICHOS,21185,F016254265,NICHO CAJA MASCARITAS MINI,5,2025-09-03
9,NICHOS,24943,F92520304,NICHO MINI,3,2025-09-03
9,NICHOS,3580,C016494066,IMAN VIRGEN/FRIDA 6X6.5,151,2025-09-03
9,NICHOS,3563,C016494026,CAJA COLGANTE  PUEBLA 14X12,18,2025-09-03
10,TEXTIL,8763,C619390008,VESTIDO TARAHUMARA TRADICIONAL,2,2025-09-03
10,TEXTIL,19476,CC617040014,REBOZO ALGODON CALIMAYA,12,2025-09-03
10,TEXTIL,10058,C6572002,INDIVIDUAL TENANGO,1,2025-09-03
10,TEXTIL,8473,C617220020,MORRAL C/BROCADO ALGODON,1,2025-09-03
10,TEXTIL,9365,C6295088,MANTEL TENANGO UN COLOR 180X190,2,2025-09-03
10,TEXTIL,18760,CC611410053,PONCHO DE REBOZO TELAR DE PEDAL,5,2025-09-03
